,0,1,2,3
COMITE,64532,37479,14561,45144
DecisionTreeClassifier,78016,23995,22158,37547
GaussianNB,77574,24437,20499,39206
GradientBoostingClassifier,73493,28518,20333,39372
MLPClassifier,80812,21199,31139,28566
MultinomialNB,102011,0,59705,0
RandomForestClassifier,64067,37944,12225,47480
SGDClassifier,76712,25299,25231,34474
