,0,1,2,3
COMITE,64105,37906,14296,45409
DecisionTreeClassifier,76211,25800,21801,37904
GaussianNB,78117,23894,20989,38716
GradientBoostingClassifier,75931,26080,22292,37413
MLPClassifier,80536,21475,30746,28959
MultinomialNB,102011,0,59705,0
RandomForestClassifier,56284,45727,8665,51040
SGDClassifier,76386,25625,24739,34966
