,0,1,2,3
COMITE,63292,38719,13769,45936
DecisionTreeClassifier,78785,23226,24167,35538
GaussianNB,78557,23454,21770,37935
GradientBoostingClassifier,75433,26578,21630,38075
MLPClassifier,80015,21996,29770,29935
MultinomialNB,102011,0,59705,0
RandomForestClassifier,53150,48861,6568,53137
SGDClassifier,75656,26355,22396,37309
