,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.656094635039,0.503511262298,,,0.656636064481,0.538427950042,,0.519996870905,0.890679172599
DecisionTreeClassifier,0.702113581835,0.509553939964,,,0.61263579418,2.52978533464,,0.5891796585,0.638037015325
GaussianNB,0.673600633209,0.500996137241,,,0.63468246498,2.61312026491,,0.540815965465,0.767975881417
GradientBoostingClassifier,0.697754087413,0.504133888951,,,0.604770760896,0.692207572235,,0.584632220746,0.626346202161
MLPClassifier,0.695775309802,0.502063350078,,,0.602401849068,0.521248044697,,0.582043633751,0.624235826145
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.641698509917,,0.0,0.0
RandomForestClassifier,0.719910212966,0.526676871802,,,0.625763221601,0.521179530843,,0.617483042004,0.634268486726
SGDClassifier,0.678467189394,0.475849454458,,,0.551173490086,0.549597711542,,0.568642467852,0.534745833682
