,0,1,2,3
COMITE,64260,37751,14243,45462
DecisionTreeClassifier,77729,24282,22609,37096
GaussianNB,78463,23548,21290,38415
GradientBoostingClassifier,77277,24734,23945,35760
MLPClassifier,80749,21262,30634,29071
MultinomialNB,102011,0,59705,0
RandomForestClassifier,59361,42650,9760,49945
SGDClassifier,76522,25489,24892,34813
