,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.692770041307,0.519628308853,,,0.655359942287,0.543797880917,,0.559326047575,0.791206766602
DecisionTreeClassifier,0.702348561676,0.511126566495,,,0.617140584609,3.02329988539,,0.587624962133,0.649778075538
GaussianNB,0.681336416928,0.505864153664,,,0.636976506639,2.27988336901,,0.54967781155,0.757239762164
GradientBoostingClassifier,0.68549803359,0.486633674057,,,0.573443816361,0.802384892448,,0.574291521779,0.572598609832
MLPClassifier,0.71294120557,0.517644027611,,,0.613066164336,0.511594076069,,0.61019761403,0.615961812244
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.642407057151,,0.0,0.0
RandomForestClassifier,0.724275891068,0.533235215049,,,0.636574809888,0.514862694596,,0.619994919506,0.654065823633
SGDClassifier,0.677632392589,0.468473139986,,,0.52348220325,0.548955526409,,0.576191721834,0.479608073026
