,0,1,2,3
COMITE,64709,37302,14495,45210
DecisionTreeClassifier,78095,23916,21995,37710
GaussianNB,77596,24415,20525,39180
GradientBoostingClassifier,74339,27672,21355,38350
MLPClassifier,81197,20814,31241,28464
MultinomialNB,102011,0,59705,0
RandomForestClassifier,63855,38156,11869,47836
SGDClassifier,76143,25868,25396,34309
