,Precision,Recall,Threshold
COMITE,"[0.36919661629, 0.36919271558, 0.369188814821, 0.369184914014, 0.369181013159, 0.369183296127, 0.369179395214, 0.369175494252, 0.369171593242, 0.369167692184, 0.369163791078, 0.369159889923, 0.36915598872, 0.369152087469, 0.36914818617, 0.369144284822, 0.369140383426, 0.369136481982, 0.36913258049, 0.369128678949, 0.36912477736, 0.369120875723, 0.369116974037, 0.369113072304, 0.369109170522, 0.369111453328, 0.369107551487, 0.369103649599, 0.369099747662, 0.369095845677, 0.369091943644, 0.369088041562, 0.369084139432, 0.369080237254, 0.369076335028, 0.369072432753, 0.36906853043, 0.369064628059, 0.36906072564, 0.369056823172, 0.369052920656, 0.369049018092, 0.369045115479, 0.369041212818, 0.369037310109, 0.369033407352, 0.369029504546, 0.369025601692, 0.36902169879, 0.36901779584, 0.369013892841, 0.369009989794, 0.369006086698, 0.369002183555, 0.368998280363, 0.369000562906, 0.368996659656, 0.368992756358, 0.368988853011, 0.36897714268, 0.36897323914, 0.368969335552, 0.368965431915, 0.368957624497, 0.368953720716, 0.368949816886, 0.368945913008, 0.368942009082, 0.368938105107, 0.368934201084, 0.368930297013, 0.368926392893, 0.368922488725, 0.368918584509, 0.368914680244, 0.368910775931, 0.36890687157, 0.368902967161, 0.368899062703, 0.368895158197, 0.368891253643, 0.36888734904, 0.368883444389, 0.368879539689, 0.368875634942, 0.368871730146, 0.368867825301, 0.368863920409, 0.368860015468, 0.368852205441, 0.368854487632, 0.368850582536, 0.368846677391, 0.368842772199, 0.368838866958, 0.368834961669, 0.368831056331, 0.36883333849, 0.368829433094, 0.368825527649, ...]","[1.0, 0.999983250984, 0.999966501968, 0.999949752952, 0.999933003936, 0.999933003936, 0.99991625492, 0.999899505904, 0.999882756888, 0.999866007872, 0.999849258856, 0.99983250984, 0.999815760824, 0.999799011808, 0.999782262792, 0.999765513776, 0.99974876476, 0.999732015744, 0.999715266728, 0.999698517712, 0.999681768696, 0.99966501968, 0.999648270664, 0.999631521648, 0.999614772632, 0.999614772632, 0.999598023616, 0.9995812746, 0.999564525584, 0.999547776568, 0.999531027552, 0.999514278536, 0.99949752952, 0.999480780504, 0.999464031488, 0.999447282472, 0.999430533456, 0.99941378444, 0.999397035424, 0.999380286408, 0.999363537392, 0.999346788376, 0.99933003936, 0.999313290344, 0.999296541328, 0.999279792312, 0.999263043296, 0.99924629428, 0.999229545264, 0.999212796248, 0.999196047232, 0.999179298216, 0.9991625492, 0.999145800184, 0.999129051168, 0.999129051168, 0.999112302152, 0.999095553136, 0.99907880412, 0.999028557072, 0.999011808056, 0.99899505904, 0.998978310024, 0.998944811992, 0.998928062976, 0.99891131396, 0.998894564944, 0.998877815928, 0.998861066912, 0.998844317896, 0.99882756888, 0.998810819864, 0.998794070848, 0.998777321832, 0.998760572816, 0.9987438238, 0.998727074784, 0.998710325768, 0.998693576752, 0.998676827736, 0.99866007872, 0.998643329704, 0.998626580688, 0.998609831672, 0.998593082656, 0.99857633364, 0.998559584624, 0.998542835608, 0.998526086592, 0.99849258856, 0.99849258856, 0.998475839544, 0.998459090528, 0.998442341512, 0.998425592496, 0.99840884348, 0.998392094464, 0.998392094464, 0.998375345448, 0.998358596432, ...]","[0.347167352087, 0.34858634855, 0.350410299843, 0.350506988615, 0.351633006094, 0.352264357301, 0.352277321787, 0.352297346388, 0.352361476064, 0.352391358035, 0.352410484829, 0.354384231499, 0.35463794684, 0.355137551881, 0.35541956253, 0.356442621593, 0.356584472771, 0.356597014982, 0.356598403113, 0.356608318464, 0.357605237608, 0.358388450769, 0.358460305202, 0.358546079053, 0.35904156185, 0.359477963355, 0.359481673103, 0.359742643983, 0.359831397247, 0.359925120197, 0.359953422332, 0.359988537732, 0.360124768999, 0.360154043041, 0.360212386697, 0.360514342931, 0.360603938188, 0.361021792156, 0.361229326394, 0.361274019653, 0.361296175345, 0.36184083638, 0.362028484017, 0.362412415143, 0.362944968742, 0.363465138892, 0.363546665368, 0.363559304136, 0.363673491526, 0.363679752332, 0.363688761253, 0.364174230949, 0.364282363814, 0.364286926207, 0.364674779555, 0.36516133964, 0.365216363328, 0.365258539659, 0.365940527091, 0.366066018366, 0.366112065065, 0.366260678955, 0.366343156648, 0.366711889239, 0.367269676284, 0.367737557812, 0.367835363057, 0.368578027147, 0.368765729451, 0.36900654071, 0.369016162342, 0.36921387892, 0.369267416821, 0.369406490647, 0.369489278962, 0.36951784765, 0.369550538976, 0.369551150619, 0.369574932533, 0.369848359933, 0.369935528505, 0.370022947492, 0.37012465778, 0.370131513185, 0.370156484459, 0.371002212228, 0.371148450564, 0.371679299271, 0.371702130636, 0.371762024909, 0.371775866631, 0.371858436865, 0.371973600351, 0.371997097141, 0.372292312098, 0.372300276152, 0.37259788491, 0.372602487763, 0.372614818926, 0.372634218403, ...]"
DecisionTreeClassifier,"[0.36919661629, 0.355089108376, 0.355057774174, 0.354993275619, 0.354911317796, 0.354899985804, 0.354684033977, 0.354662644735, 0.354650415632, 0.354663275522, 0.354659107822, 0.354646875359, 0.354555173627, 0.354490693739, 0.35398008265, 0.353881185703, 0.353713270688, 0.353639267332, 0.353536860811, 0.353391825961, 0.353253012048, 0.352865264316, 0.352812088106, 0.352763696163, 0.352758859753, 0.352251155005, 0.352171634324, 0.352148726013, 0.352010349641, 0.351926273057, 0.351670744423, 0.351603558161, 0.351544817431, 0.351378630712, 0.351362780673, 0.348888523422, 0.348863028907, 0.348280688274, 0.348275672783, 0.348263486203, 0.348179165952, 0.348119516114, 0.34787597304, 0.347600090757, 0.347439733141, 0.345942104973, 0.345863987081, 0.3458615477, 0.345795618523, 0.345532161804, 0.343834913769, 0.343765816861, 0.343613892973, 0.343476570095, 0.343200611493, 0.342931045272, 0.342906815021, 0.342891519341, 0.342816599658, 0.34223339858, 0.342181739621, 0.342043069973, 0.341991311806, 0.3419083027, 0.341902044632, 0.341821784389, 0.341480276251, 0.341448765225, 0.341316863227, 0.341258193914, 0.341104363158, 0.340960954234, 0.34021594335, 0.340173073956, 0.340099884964, 0.340081795287, 0.339982599178, 0.339869877387, 0.339854416296, 0.339841062578, 0.33975605817, 0.339617472905, 0.339368805792, 0.338895966329, 0.33885164634, 0.338800777509, 0.338721719776, 0.33864990912, 0.3385619257, 0.338315265307, 0.337869713834, 0.337673899373, 0.337233320129, 0.337188983453, 0.337132951249, 0.335528793208, 0.335465211305, 0.335435074675, 0.334993737903, 0.334362895805, ...]","[1.0, 0.88034502973, 0.880077045474, 0.879792312202, 0.879440582866, 0.879323339754, 0.878402143874, 0.878301649778, 0.878217904698, 0.878184406666, 0.878067163554, 0.877983418474, 0.877631689138, 0.87724646177, 0.875152834771, 0.874600117243, 0.873829662507, 0.873427686123, 0.873008960724, 0.87227200402, 0.871669039444, 0.870144878988, 0.86975965162, 0.869474918349, 0.869273930157, 0.867096558077, 0.866594087597, 0.866443346453, 0.865890628926, 0.86537140943, 0.864265974374, 0.86394774307, 0.863679758814, 0.862959551126, 0.862808809982, 0.852759400385, 0.852591910225, 0.850247047986, 0.850129804874, 0.850012561762, 0.849526840298, 0.849258856042, 0.848052926891, 0.846763252659, 0.846093292019, 0.839879407085, 0.839376936605, 0.839226195461, 0.838857717109, 0.837819278117, 0.830801440415, 0.830432962063, 0.829829997488, 0.82843982916, 0.827233900008, 0.826061468889, 0.825893978729, 0.825776735617, 0.825458504313, 0.82287915585, 0.82237668537, 0.821756971778, 0.821472238506, 0.820986517042, 0.820902771962, 0.820601289674, 0.819043631187, 0.818859392011, 0.818222929403, 0.817887949083, 0.816548027803, 0.815827820116, 0.812746001172, 0.812461267901, 0.812092789549, 0.811975546437, 0.811573570053, 0.811071099573, 0.810920358429, 0.810803115317, 0.810401138933, 0.809831672389, 0.808675990286, 0.806465120174, 0.80597939871, 0.805744912486, 0.805443430198, 0.805125198895, 0.804723222511, 0.803383301231, 0.801289674232, 0.800468972448, 0.79849258856, 0.798291600368, 0.798040365129, 0.790955531363, 0.790670798091, 0.790352566787, 0.788476676995, 0.785093375764, ...]","[0.0, 0.0227272727273, 0.0285714285714, 0.0294117647059, 0.0416666666667, 0.0434782608696, 0.0454545454545, 0.047619047619, 0.0526315789474, 0.0555555555556, 0.0588235294118, 0.0689655172414, 0.0714285714286, 0.0765306122449, 0.0769230769231, 0.0795454545455, 0.08, 0.0810810810811, 0.0833333333333, 0.0845070422535, 0.0869565217391, 0.0909090909091, 0.0952380952381, 0.0967741935484, 0.0985915492958, 0.1, 0.105263157895, 0.107142857143, 0.111111111111, 0.113043478261, 0.114285714286, 0.115384615385, 0.118644067797, 0.12, 0.123791102515, 0.125, 0.129411764706, 0.130434782609, 0.131578947368, 0.133333333333, 0.137931034483, 0.142857142857, 0.144927536232, 0.145161290323, 0.147368421053, 0.147540983607, 0.15, 0.153846153846, 0.154761904762, 0.155898876404, 0.16, 0.163636363636, 0.166666666667, 0.16935483871, 0.171974522293, 0.173913043478, 0.176470588235, 0.178571428571, 0.179930795848, 0.181818181818, 0.184782608696, 0.185185185185, 0.185714285714, 0.1875, 0.189189189189, 0.190217391304, 0.190476190476, 0.194444444444, 0.195652173913, 0.2, 0.202127659574, 0.204938271605, 0.205882352941, 0.207547169811, 0.208333333333, 0.209302325581, 0.210526315789, 0.214285714286, 0.217391304348, 0.218181818182, 0.21875, 0.21897810219, 0.222222222222, 0.224137931034, 0.225806451613, 0.227272727273, 0.229166666667, 0.229885057471, 0.230769230769, 0.233215547703, 0.233333333333, 0.236111111111, 0.238095238095, 0.242424242424, 0.243902439024, 0.244444444444, 0.244897959184, 0.24537037037, 0.25, 0.251428571429, ...]"
GaussianNB,"[0.369198899298, 0.369194998578, 0.369191097809, 0.369193380825, 0.369189479998, 0.369185579123, 0.3691816782, 0.369177777228, 0.369173876208, 0.36916997514, 0.369166074024, 0.369162172859, 0.369164455823, 0.3691605546, 0.369156653329, 0.369148850642, 0.369144949226, 0.369141047762, 0.36913714625, 0.369139429172, 0.369135527602, 0.369137810542, 0.369140093511, 0.369136191872, 0.369132290185, 0.369128388449, 0.369124486666, 0.369120584834, 0.369122867781, 0.36911896589, 0.369115063952, 0.369111161965, 0.36910725993, 0.369103357847, 0.369099455715, 0.36910173863, 0.369104021574, 0.369106304545, 0.369102402336, 0.369104685325, 0.369106968344, 0.36910925139, 0.369105349102, 0.369101446765, 0.36910372982, 0.369099827425, 0.369102110498, 0.369104393599, 0.369096588625, 0.369098871734, 0.369094969164, 0.369097252292, 0.369093349664, 0.369089446988, 0.369091730123, 0.369094013287, 0.369090110543, 0.36908620775, 0.369088490922, 0.369084588071, 0.369080685171, 0.369076782224, 0.369079065394, 0.369081348593, 0.369077445577, 0.369073542512, 0.369069639399, 0.369065736238, 0.369061833029, 0.369064116206, 0.369060212938, 0.369056309622, 0.369052406258, 0.369048502846, 0.369044599385, 0.369040695876, 0.369042979021, 0.369039075453, 0.369041358617, 0.369037454991, 0.369039738172, 0.369035834488, 0.369038117688, 0.369034213945, 0.369030310155, 0.369026406316, 0.369022502428, 0.369018598493, 0.369020881671, 0.369023164877, 0.369019260873, 0.36901535682, 0.369017640034, 0.369019923277, 0.369022206547, 0.369018302417, 0.369020585706, 0.369022869023, 0.369025152368, 0.369021248159, ...]","[1.0, 0.999983250984, 0.999966501968, 0.999966501968, 0.999949752952, 0.999933003936, 0.99991625492, 0.999899505904, 0.999882756888, 0.999866007872, 0.999849258856, 0.99983250984, 0.99983250984, 0.999815760824, 0.999799011808, 0.999765513776, 0.99974876476, 0.999732015744, 0.999715266728, 0.999715266728, 0.999698517712, 0.999698517712, 0.999698517712, 0.999681768696, 0.99966501968, 0.999648270664, 0.999631521648, 0.999614772632, 0.999614772632, 0.999598023616, 0.9995812746, 0.999564525584, 0.999547776568, 0.999531027552, 0.999514278536, 0.999514278536, 0.999514278536, 0.999514278536, 0.99949752952, 0.99949752952, 0.99949752952, 0.99949752952, 0.999480780504, 0.999464031488, 0.999464031488, 0.999447282472, 0.999447282472, 0.999447282472, 0.99941378444, 0.99941378444, 0.999397035424, 0.999397035424, 0.999380286408, 0.999363537392, 0.999363537392, 0.999363537392, 0.999346788376, 0.99933003936, 0.99933003936, 0.999313290344, 0.999296541328, 0.999279792312, 0.999279792312, 0.999279792312, 0.999263043296, 0.99924629428, 0.999229545264, 0.999212796248, 0.999196047232, 0.999196047232, 0.999179298216, 0.9991625492, 0.999145800184, 0.999129051168, 0.999112302152, 0.999095553136, 0.999095553136, 0.99907880412, 0.99907880412, 0.999062055104, 0.999062055104, 0.999045306088, 0.999045306088, 0.999028557072, 0.999011808056, 0.99899505904, 0.998978310024, 0.998961561008, 0.998961561008, 0.998961561008, 0.998944811992, 0.998928062976, 0.998928062976, 0.998928062976, 0.998928062976, 0.99891131396, 0.99891131396, 0.99891131396, 0.99891131396, 0.998894564944, ...]","[3.86412296605e-06, 3.88488711713e-06, 3.89294204037e-06, 3.89410400933e-06, 3.89503910512e-06, 3.90374904034e-06, 3.90552249351e-06, 3.9087172325e-06, 3.90913407107e-06, 3.91131391829e-06, 3.91172768769e-06, 3.91570594636e-06, 3.91643937444e-06, 3.92059470234e-06, 3.92296629415e-06, 3.92335244859e-06, 3.92337024203e-06, 3.9233923408e-06, 3.92555188159e-06, 3.93344777084e-06, 3.93390796752e-06, 3.93752245328e-06, 3.93960409937e-06, 3.93994523378e-06, 3.94055257681e-06, 3.94118837593e-06, 3.94187622302e-06, 3.94326001688e-06, 3.94342363032e-06, 3.9439085396e-06, 3.94496991233e-06, 3.94525844508e-06, 3.94526807895e-06, 3.9459888076e-06, 3.94601159728e-06, 3.9468064755e-06, 3.94721961206e-06, 3.9474039614e-06, 3.94802419208e-06, 3.9481304883e-06, 3.95020386853e-06, 3.95034473528e-06, 3.95189280637e-06, 3.95225013287e-06, 3.9534369577e-06, 3.95435596699e-06, 3.95567777492e-06, 3.95654239795e-06, 3.95760492023e-06, 3.95792178372e-06, 3.95810763599e-06, 3.95835158959e-06, 3.95876325714e-06, 3.95903204597e-06, 3.96183470379e-06, 3.9627016002e-06, 3.96351899606e-06, 3.9637792291e-06, 3.96388918225e-06, 3.96389830762e-06, 3.96398199093e-06, 3.9646721699e-06, 3.96587390158e-06, 3.96599656423e-06, 3.96639377046e-06, 3.9682420412e-06, 3.96830075296e-06, 3.96858552076e-06, 3.96868811213e-06, 3.96931910247e-06, 3.96998959633e-06, 3.97056091582e-06, 3.97088658624e-06, 3.97217145928e-06, 3.97232052628e-06, 3.97252913044e-06, 3.97262980206e-06, 3.97294043831e-06, 3.97304822461e-06, 3.97401548048e-06, 3.97407304127e-06, 3.97410710921e-06, 3.97461103955e-06, 3.97557195176e-06, 3.97585948643e-06, 3.97595430154e-06, 3.97606167198e-06, 3.97609590145e-06, 3.97661661861e-06, 3.97812686774e-06, 3.97853328716e-06, 3.97892889299e-06, 3.9796049848e-06, 3.97974475428e-06, 3.98045827621e-06, 3.98053975918e-06, 3.98087419425e-06, 3.9811429362e-06, 3.9812431106e-06, 3.98363499419e-06, ...]"
GradientBoostingClassifier,"[0.36919661629, 0.369187196992, 0.369189479998, 0.369191763033, 0.369194046095, 0.369196329186, 0.369198612305, 0.369200895452, 0.369196994527, 0.369199277693, 0.369201560886, 0.369197659893, 0.369193758851, 0.369196042053, 0.369192140953, 0.369194424173, 0.369190523015, 0.369192806254, 0.36919508952, 0.369197372815, 0.369189570294, 0.369191853597, 0.369194136929, 0.369196420288, 0.369198703676, 0.369194802303, 0.369197085709, 0.369193184278, 0.369195467702, 0.369197751155, 0.369200034636, 0.369202318145, 0.369204601682, 0.369206885248, 0.369202983708, 0.369205267292, 0.369207550904, 0.369209834545, 0.369212118213, 0.36921440191, 0.369216685635, 0.369212783987, 0.369215067731, 0.369217351502, 0.369213449786, 0.369215733576, 0.369218017394, 0.369214115609, 0.369216399446, 0.36921868331, 0.369220967203, 0.369223251124, 0.369219349252, 0.36921544733, 0.369211545361, 0.369213829281, 0.369209927253, 0.369206025177, 0.369208309105, 0.36921059306, 0.369212877045, 0.36920897489, 0.369211258893, 0.36920735668, 0.369209640701, 0.36920573843, 0.369208022469, 0.369210306536, 0.369212590631, 0.369214874755, 0.369217158907, 0.369213256538, 0.36920935412, 0.369205451655, 0.369207735805, 0.369210019983, 0.36921230419, 0.369214588425, 0.369210685871, 0.369212970124, 0.369215254405, 0.369211351783, 0.369213636082, 0.36921592041, 0.369218204767, 0.369220489151, 0.369222773564, 0.369218870843, 0.369214968074, 0.369211065257, 0.369207162391, 0.369203259477, 0.369205543868, 0.369201640896, 0.369203925305, 0.369206209743, 0.369202306702, 0.369204591158, 0.369206875642, 0.369202972533, ...]","[1.0, 0.999949752952, 0.999949752952, 0.999949752952, 0.999949752952, 0.999949752952, 0.999949752952, 0.999949752952, 0.999933003936, 0.999933003936, 0.999933003936, 0.99991625492, 0.999899505904, 0.999899505904, 0.999882756888, 0.999882756888, 0.999866007872, 0.999866007872, 0.999866007872, 0.999866007872, 0.99983250984, 0.99983250984, 0.99983250984, 0.99983250984, 0.99983250984, 0.999815760824, 0.999815760824, 0.999799011808, 0.999799011808, 0.999799011808, 0.999799011808, 0.999799011808, 0.999799011808, 0.999799011808, 0.999782262792, 0.999782262792, 0.999782262792, 0.999782262792, 0.999782262792, 0.999782262792, 0.999782262792, 0.999765513776, 0.999765513776, 0.999765513776, 0.99974876476, 0.99974876476, 0.99974876476, 0.999732015744, 0.999732015744, 0.999732015744, 0.999732015744, 0.999732015744, 0.999715266728, 0.999698517712, 0.999681768696, 0.999681768696, 0.99966501968, 0.999648270664, 0.999648270664, 0.999648270664, 0.999648270664, 0.999631521648, 0.999631521648, 0.999614772632, 0.999614772632, 0.999598023616, 0.999598023616, 0.999598023616, 0.999598023616, 0.999598023616, 0.999598023616, 0.9995812746, 0.999564525584, 0.999547776568, 0.999547776568, 0.999547776568, 0.999547776568, 0.999547776568, 0.999531027552, 0.999531027552, 0.999531027552, 0.999514278536, 0.999514278536, 0.999514278536, 0.999514278536, 0.999514278536, 0.999514278536, 0.99949752952, 0.999480780504, 0.999464031488, 0.999447282472, 0.999430533456, 0.999430533456, 0.99941378444, 0.99941378444, 0.99941378444, 0.999397035424, 0.999397035424, 0.999397035424, 0.999380286408, ...]","[0.0, 3.97459842816e-13, 2.16227036276e-12, 3.30668825654e-12, 1.73669967296e-10, 3.2047609011e-10, 5.80739012435e-10, 8.8916730645e-09, 2.45613130945e-08, 2.54869718663e-08, 3.57632081727e-08, 3.90214283108e-08, 3.91171730563e-08, 6.1401850715e-08, 9.04499775078e-08, 9.55928891599e-08, 1.05564343933e-07, 1.29884071054e-07, 1.82685486849e-07, 1.96453499912e-07, 2.97805844762e-07, 3.4900005319e-07, 5.48076243501e-07, 5.99352171227e-07, 1.16619686485e-06, 1.16677231188e-06, 1.64580109929e-06, 1.76251854944e-06, 2.47603891312e-06, 2.60437874822e-06, 3.03672247814e-06, 3.21833818329e-06, 3.7527405673e-06, 4.03832441587e-06, 4.15464124748e-06, 4.30746471036e-06, 4.42327880235e-06, 4.55812301647e-06, 4.60503066146e-06, 4.70736078695e-06, 4.72633527204e-06, 4.78467559195e-06, 4.90300384215e-06, 5.68280584334e-06, 5.97040965922e-06, 7.40673533306e-06, 7.59796673766e-06, 7.8616218272e-06, 7.87131310831e-06, 1.0195755982e-05, 1.15240783513e-05, 1.20950913387e-05, 1.22000099385e-05, 1.22971617961e-05, 1.23207937616e-05, 1.34625485136e-05, 1.44838322866e-05, 1.49316012503e-05, 1.63918145162e-05, 1.6971474446e-05, 1.75030660254e-05, 1.783244402e-05, 1.82846076877e-05, 2.00678592995e-05, 2.10766302159e-05, 2.17856669102e-05, 2.18169131303e-05, 2.23498489171e-05, 2.25704342918e-05, 2.28464875999e-05, 2.43140777455e-05, 2.50472601432e-05, 2.5310046037e-05, 2.58343759943e-05, 2.66343970822e-05, 2.71794377655e-05, 2.86136857206e-05, 3.0001759132e-05, 3.18769820135e-05, 3.28571463153e-05, 3.36938202475e-05, 3.37971039218e-05, 3.41372720207e-05, 3.41744733646e-05, 3.6984429587e-05, 3.73326814709e-05, 3.89730341454e-05, 4.43024750748e-05, 4.80295901547e-05, 4.81952095116e-05, 4.82972390419e-05, 4.97883412671e-05, 5.04844672587e-05, 5.21867561208e-05, 5.30328905172e-05, 5.58553321058e-05, 5.81681346351e-05, 5.97263743763e-05, 6.04015803732e-05, 6.28209465831e-05, ...]"
MLPClassifier,"[0.36919661629, 0.36919271558, 0.369194998578, 0.369197281604, 0.369193380825, 0.369189479998, 0.369185579123, 0.3691816782, 0.369177777228, 0.369173876208, 0.36916997514, 0.369166074024, 0.369162172859, 0.369164455823, 0.3691605546, 0.369162837583, 0.369158936302, 0.369161219303, 0.369157317963, 0.369153416575, 0.36914951514, 0.369145613655, 0.369141712123, 0.369137810542, 0.369133908913, 0.369130007236, 0.369122203737, 0.369118301915, 0.369114400045, 0.369116682953, 0.369112781025, 0.369108879048, 0.369104977023, 0.36910107495, 0.369097172828, 0.369093270658, 0.369095553535, 0.369091651307, 0.36908774903, 0.369083846706, 0.369079944333, 0.369076041912, 0.369072139442, 0.369068236924, 0.369064334358, 0.369066617183, 0.369062714559, 0.369058811886, 0.369061094719, 0.369057191988, 0.369053289209, 0.369049386382, 0.369051669213, 0.369047766327, 0.369043863393, 0.369039960411, 0.36903605738, 0.369032154301, 0.369028251174, 0.369024347998, 0.369020444774, 0.369016541502, 0.369012638182, 0.369008734813, 0.369011017563, 0.369007114135, 0.36900321066, 0.369005493418, 0.369001589884, 0.36900387266, 0.369006155464, 0.368998348212, 0.368994444513, 0.368990540766, 0.368986636971, 0.368982733128, 0.368971021307, 0.36896711727, 0.368969400002, 0.368965495907, 0.368961591764, 0.368957687572, 0.368959970303, 0.368956066053, 0.368958348801, 0.368954444493, 0.368950540136, 0.368946635731, 0.368942731278, 0.368938826776, 0.368934922226, 0.368931017628, 0.368927112981, 0.368923208286, 0.368919303543, 0.368921586219, 0.368917681418, 0.368913776568, 0.36890987167, 0.368905966723, ...]","[1.0, 0.999983250984, 0.999983250984, 0.999983250984, 0.999966501968, 0.999949752952, 0.999933003936, 0.99991625492, 0.999899505904, 0.999882756888, 0.999866007872, 0.999849258856, 0.99983250984, 0.99983250984, 0.999815760824, 0.999815760824, 0.999799011808, 0.999799011808, 0.999782262792, 0.999765513776, 0.99974876476, 0.999732015744, 0.999715266728, 0.999698517712, 0.999681768696, 0.99966501968, 0.999631521648, 0.999614772632, 0.999598023616, 0.999598023616, 0.9995812746, 0.999564525584, 0.999547776568, 0.999531027552, 0.999514278536, 0.99949752952, 0.99949752952, 0.999480780504, 0.999464031488, 0.999447282472, 0.999430533456, 0.99941378444, 0.999397035424, 0.999380286408, 0.999363537392, 0.999363537392, 0.999346788376, 0.99933003936, 0.99933003936, 0.999313290344, 0.999296541328, 0.999279792312, 0.999279792312, 0.999263043296, 0.99924629428, 0.999229545264, 0.999212796248, 0.999196047232, 0.999179298216, 0.9991625492, 0.999145800184, 0.999129051168, 0.999112302152, 0.999095553136, 0.999095553136, 0.99907880412, 0.999062055104, 0.999062055104, 0.999045306088, 0.999045306088, 0.999045306088, 0.999011808056, 0.99899505904, 0.998978310024, 0.998961561008, 0.998944811992, 0.998894564944, 0.998877815928, 0.998877815928, 0.998861066912, 0.998844317896, 0.99882756888, 0.99882756888, 0.998810819864, 0.998810819864, 0.998794070848, 0.998777321832, 0.998760572816, 0.9987438238, 0.998727074784, 0.998710325768, 0.998693576752, 0.998676827736, 0.99866007872, 0.998643329704, 0.998643329704, 0.998626580688, 0.998609831672, 0.998593082656, 0.99857633364, ...]","[0.120338891566, 0.136116156162, 0.137815802027, 0.141183616365, 0.141805492376, 0.143336366289, 0.145300839482, 0.146976558195, 0.149979844637, 0.151683846352, 0.153586591472, 0.154285420892, 0.154459139392, 0.154749573966, 0.155958367936, 0.156097433672, 0.157185854154, 0.158042521935, 0.158272747744, 0.158519927054, 0.158706144456, 0.158719852172, 0.159052550849, 0.159431034554, 0.159927632853, 0.159982504507, 0.160009211272, 0.160024606188, 0.160516842789, 0.160522064503, 0.161374708856, 0.161467496274, 0.162296519184, 0.162299099245, 0.162482856879, 0.162854551658, 0.162907385634, 0.162984823285, 0.163029490468, 0.163055845548, 0.163180807673, 0.163228981377, 0.163402617196, 0.163552362488, 0.16359085225, 0.16365874662, 0.16395124945, 0.16395520706, 0.164023687485, 0.164228044821, 0.164232818492, 0.164233107222, 0.164501432339, 0.164505310397, 0.1646722917, 0.164839724015, 0.165414455099, 0.165467936514, 0.165582480092, 0.165739015016, 0.165825689285, 0.165869258341, 0.166144585663, 0.166292135621, 0.166302597043, 0.166356102008, 0.166685945987, 0.166701323603, 0.166830764577, 0.166840887067, 0.166842934064, 0.166851518441, 0.167043798495, 0.167095646313, 0.167230604597, 0.167288923816, 0.167395994416, 0.167482375077, 0.167486103212, 0.167774199712, 0.16803492715, 0.168326797772, 0.168455911063, 0.1684661404, 0.168890616312, 0.169160017875, 0.169319934125, 0.169519511459, 0.169682341505, 0.169919104382, 0.169990396519, 0.170002488395, 0.170243081081, 0.170384699085, 0.170421123496, 0.170488081497, 0.170493752013, 0.170563854987, 0.170585629743, 0.171192818501, ...]"
