,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.663657275718,0.504484822952,,,0.652385091262,0.543098178114,,0.527452540639,0.854869776401
DecisionTreeClassifier,0.700883029509,0.507086404179,,,0.607363755905,2.95728029728,,0.589246058621,0.626630935433
GaussianNB,0.677199534987,0.502926170612,,,0.635002097609,2.43175166971,,0.545027906139,0.760556067331
GradientBoostingClassifier,0.688565138885,0.490944116286,,,0.581332712642,0.765385066291,,0.577082404978,0.585646093292
MLPClassifier,0.705650646813,0.512550152114,,,0.61428258879,0.519359109207,,0.595001883712,0.634854702286
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.642871810344,,0.0,0.0
RandomForestClassifier,0.722457889139,0.5307728097,,,0.633053999918,0.518484587022,,0.618367672896,0.648454903274
SGDClassifier,0.677082045067,0.468628431748,,,0.525862773405,0.54948003676,,0.574195978903,0.485034754208
