,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.657244799525,0.504265947766,,,0.65721724396,0.537385905916,,0.520961195318,0.889992462943
DecisionTreeClassifier,0.701897153034,0.509313958385,,,0.61234500394,2.65315412239,,0.588913120814,0.637718784021
GaussianNB,0.675431002498,0.50263016429,,,0.636408977556,2.58894865496,,0.542625952395,0.769382798761
GradientBoostingClassifier,0.698539414777,0.504693284162,,,0.604835898808,0.699166887791,,0.586029781352,0.624889037769
MLPClassifier,0.70693685226,0.509409010416,,,0.599954418455,0.515704386031,,0.604758015111,0.595226530441
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.641651855967,,0.0,0.0
RandomForestClassifier,0.720349254248,0.527244587374,,,0.626538061341,0.529247934869,,0.617944582906,0.635373921782
SGDClassifier,0.679895619481,0.473103655842,,,0.536296535168,0.547781771512,,0.576437965762,0.50138179382
