,0,1,2,3
COMITE,64415,37596,14188,45517
DecisionTreeClassifier,77251,24760,22153,37552
GaussianNB,78430,23581,21139,38566
GradientBoostingClassifier,76211,25800,22434,37271
MLPClassifier,80050,21961,29977,29728
MultinomialNB,102011,0,59705,0
RandomForestClassifier,56279,45732,8521,51184
SGDClassifier,76747,25264,24947,34758
