,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.664516807242,0.505445101711,,,0.653603284362,0.541771230797,,0.528127450576,0.857281634704
DecisionTreeClassifier,0.701736377353,0.507618745291,,,0.607138202906,2.8853967584,,0.590937197761,0.624252575161
GaussianNB,0.67978431324,0.505244741742,,,0.637412651066,2.38374176308,,0.547651991866,0.762364961059
GradientBoostingClassifier,0.68951124193,0.491387273192,,,0.580620912576,0.770770432555,,0.579087667855,0.582162297965
MLPClassifier,0.709905018675,0.516025935791,,,0.615520788087,0.515899264956,,0.602644755424,0.628959048656
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.642828792867,,0.0,0.0
RandomForestClassifier,0.723465828984,0.531563521074,,,0.63299740669,0.514238304354,,0.620560928122,0.645942550875
SGDClassifier,0.678832026516,0.47173490064,,,0.533745085014,0.547869062719,,0.575132039699,0.497914747509
