,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.675913329541,0.511570072971,,,0.655876559422,0.542334920108,,0.539391975809,0.836529603886
DecisionTreeClassifier,0.698984639739,0.502124264856,,,0.595013269661,3.0134157037,,0.591133004926,0.598944811992
GaussianNB,0.678485740434,0.504075938698,,,0.636196980086,2.40123485575,,0.546332904714,0.761443765179
GradientBoostingClassifier,0.688460016325,0.490544601662,,,0.580182822669,0.780848540328,,0.577310868628,0.583083493845
MLPClassifier,0.710041059635,0.51532479678,,,0.612736717789,0.516245266529,,0.604385936329,0.621321497362
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.642827302234,,0.0,0.0
RandomForestClassifier,0.72273615474,0.530545495843,,,0.631472531808,0.519242767797,,0.619966754353,0.64341344946
SGDClassifier,0.679091741077,0.470657471453,,,0.528381104709,0.548232200925,,0.577573361413,0.486910644
