,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.690661406416,0.51909238217,,,0.656650445788,0.544413556918,,0.556284305517,0.801205929152
DecisionTreeClassifier,0.696832719088,0.505157734981,,,0.610051937929,3.40619781684,,0.580866983733,0.64232476342
GaussianNB,0.6797039254,0.504530304484,,,0.635788970376,2.29097647191,,0.547920302501,0.757223013148
GradientBoostingClassifier,0.682999826857,0.484664116243,,,0.572379506515,0.81795850649,,0.570134769098,0.574641989783
MLPClassifier,0.716101066066,0.522500149993,,,0.621605360543,0.509478242634,,0.611917047999,0.631605393183
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.642381883498,,0.0,0.0
RandomForestClassifier,0.722105419377,0.531212071042,,,0.635523114355,0.519698546441,,0.616086170296,0.656226446696
SGDClassifier,0.678108535952,0.468561614968,,,0.522356697834,0.549119469893,,0.577620845002,0.476743991291
