,0,1,2,3
COMITE,64972,37039,14494,45211
DecisionTreeClassifier,78518,23493,22929,36776
GaussianNB,78076,23935,20654,39051
GradientBoostingClassifier,74786,27225,20910,38795
MLPClassifier,80949,21062,31070,28635
MultinomialNB,102011,0,59705,0
RandomForestClassifier,64793,37218,12466,47239
SGDClassifier,76669,25342,25518,34187
