,0,1,2,3
COMITE,63497,38514,13831,45874
DecisionTreeClassifier,78835,23176,25851,33854
GaussianNB,78497,23514,21806,37899
GradientBoostingClassifier,77008,25003,22871,36834
MLPClassifier,81227,20784,31163,28542
MultinomialNB,102011,0,59705,0
RandomForestClassifier,53221,48790,6562,53143
SGDClassifier,75925,26086,22744,36961
