,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.689770956492,0.517604185107,,,0.6543144375,0.544579496903,,0.555815695823,0.795243279457
DecisionTreeClassifier,0.697921046773,0.508168479338,,,0.617140170069,3.19999549607,,0.579938135219,0.659442257767
GaussianNB,0.678201291152,0.503172162019,,,0.634365690518,2.3175783977,,0.546385389056,0.756117578092
GradientBoostingClassifier,0.687538648,0.489038346594,,,0.577076951405,0.80368381602,,0.576748699245,0.577405577422
MLPClassifier,0.714604615499,0.520697112221,,,0.619347282819,0.510205976276,,0.610103669039,0.628875303576
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.642419779408,,0.0,0.0
RandomForestClassifier,0.722130154097,0.531282728193,,,0.635697376528,0.517344149713,,0.616030042581,0.656661921112
SGDClassifier,0.676358554503,0.467193841564,,,0.521896409975,0.550292733312,,0.574017884055,0.478452390922
