,accuracy_score,average_precision_score,classification_report,confusion_matrix,f1_score,log_loss,precision_recall_curve,precision_score,recall_score
COMITE,0.657720942888,0.504629283841,,,0.657555772776,0.536939511309,,0.521352260799,0.890092957039
DecisionTreeClassifier,0.703962502164,0.50891113057,,,0.606111467641,2.5036226305,,0.595662790886,0.616933255171
GaussianNB,0.676315268743,0.503204692956,,,0.636727668936,2.57618593211,,0.543608095938,0.768344359769
GradientBoostingClassifier,0.698050904054,0.503562784004,,,0.602206074035,0.717108912819,,0.586245182166,0.619060380203
MLPClassifier,0.696832719088,0.496447952369,,,0.580014562899,0.518734529582,,0.593617394354,0.567021187505
MultinomialNB,0.63080338371,0.36919661629,,,0.0,0.641699704439,,0.0,0.0
RandomForestClassifier,0.719755620965,0.526569210234,,,0.625819448802,0.52298769921,,0.617116897074,0.634770957206
SGDClassifier,0.678776373395,0.469321145259,,,0.523557520338,0.5480595737,,0.578640068118,0.478050414538
